metric_id,metric_name,corpus_value
227,sentence_initial_eto_share,0.03480422622747048
228,eto_sentence_chain_max,2.0
229,eto_predicate_mode_share,0.06785714285714285
230,specificichn_family_count,5.0
231,word_family_dopoln_count,71.0
232,word_family_odnovrem_count,63.0
233,word_family_klyuchev_count,191.0
234,word_family_ramka_count,128.0
235,word_family_fiks_count,55.0
236,word_family_fokus_count,46.0
237,sentence_initial_demonstrative_count,613.0
238,sentence_initial_demonstrative_share,0.0761963952765693
239,demonstrative_sentence_chain_max,2.0
240,demonstrative_predicate_mode_share,0.0636215334420881
241,sentence_initial_pronoun_3p_count,210.0
242,sentence_initial_pronoun_3p_share,0.02610316967060286
243,pronoun_3p_sentence_chain_max,2.0
244,exact_word_dopolnitelno_count,4.0
245,exact_word_odnovremenno_count,62.0
246,exact_word_klyuchevoy_count,24.0
247,exact_word_ramka_count,4.0
248,exact_word_fiksirovat_count,1.0
249,exact_word_fokus_count,8.0
250,exact_word_fundamentalny_count,6.0
251,exact_word_analogichno_count,31.0
252,exact_word_domen_count,6.0
253,exact_word_token_count,0.0
254,exact_word_effekt_count,26.0
255,word_family_fundamentaln_count,40.0
256,word_family_analogichn_count,70.0
257,word_family_domen_count,38.0
258,word_family_token_count,1.0
259,word_family_effekt_count,118.0
9999,pos_schema_repeated_sentence_share,0.08619402985074627
9999,pos_schema_repeat_excess,0.055970149253731345
9999,pos_schema_top10_coverage,0.023134328358208955
9999,pos_schema_compact_repeated_sentence_share,0.08619402985074627
9999,pos_schema_compact_repeat_excess,0.055970149253731345
9999,pos_schema_compact_top10_coverage,0.023134328358208955
