metric_id,metric_name,median,mean,iqr,entropy_norm,heterogeneity_level,corpus_value
75.0,stem_density_key_per_1k,0.9786045857178769,1.1199474791128805,0.9623684228224916,0.8217033393101255,средняя,1.3270247549172867
76.0,stem_density_system_per_1k,0.0,0.17410034473919292,0.390597359422883,0.689014714215588,высокая,0.15979879247695075
78.0,pattern_start_dannyi,0.0,0.0021126512005255117,0.00349710469682515,0.581270503142073,высокая,0.002486016159105034
79.0,pattern_start_vramkah,0.0,0.0030018559627239816,0.0033129568674389776,0.5403755093797713,высокая,0.0026103169670602857
80.0,pattern_example_intro,0.10138897387260601,0.09661461836395727,0.0573031733328315,0.9332269156300166,средняя,0.09073958980733375
81.0,pattern_enum_colon,0.0971675845790716,0.10296858684797171,0.07994737186399892,0.9358045872543952,средняя,0.08986948415164699
82.0,pattern_definition,0.009712399811409714,0.011267791771770327,0.01702219349278173,0.7993516149123407,средняя,0.01168427594779366
83.0,pattern_result_verb,0.0057133104692554,0.008232287557772153,0.012544642857142857,0.7987710748925536,средняя,0.007582349285270355
84.0,pattern_nominal_abstract,0.2239135673548076,0.23324628762991234,0.1412794129484049,0.8807555885466238,средняя,0.22585456805469237
87.0,syntactic_template_coverage_top3,0.031169041450777202,0.034778567570776055,0.01812343773579376,0.8527582584358578,средняя,0.016159105034182723
88.0,dependency_distance_median,2.0,2.0,0.0,0.0,низкая,2.0
89.0,dependency_distance_iqr,2.0,2.0652173913043477,0.0,0.0,низкая,2.0
92.0,morphology_case_entropy,0.8732760560783693,0.8664574385256166,0.027052994672682407,0.8300110666930587,средняя,0.809809044242546
93.0,morphology_tense_entropy,0.5884381118418409,0.5884191528641691,0.11078617752329945,0.8575325408285047,средняя,0.5579761480728224
94.0,morphology_mood_entropy,0.10180181933513052,0.10876488074258207,0.0820595654387156,0.8403951363972566,средняя,0.10451694619081262
95.0,morphology_person_entropy,0.21224152766972978,0.2149862745025767,0.16179170985631405,0.9262583847167464,средняя,0.2242608212445928
96.0,domain_transfer_warning_score,0.13823124113745805,0.14708605582278397,0.0696314271454738,0.8362181844447317,средняя,0.2001885188174065
97.0,template_regularity_index,0.1933768618536943,0.19963852083686895,0.03457620092077632,0.771268607570745,средняя,0.2831988419285697
100.0,report_confidence_score,0.8,0.7999999999999996,0.0,0.0,низкая,0.8
101.0,punctuation_marks_per_100w,916.5,948.0,493.75,0.94430576732835,средняя,43608.0
102.0,comma_per_100w,254.0,297.5869565217391,199.25,0.9167124647005708,средняя,13689.0
103.0,semicolon_per_100w,5.0,7.1521739130434785,7.75,0.6828097710633887,высокая,329.0
104.0,colon_per_100w,33.0,39.76086956521739,26.0,0.8678707567496317,средняя,1829.0
105.0,dash_per_100w,56.5,60.71739130434783,36.0,0.9159958260805672,средняя,2793.0
106.0,parenthesis_per_100w,130.5,139.7173913043478,104.25,0.8330642387942083,средняя,6427.0
107.0,quotes_per_100w,150.5,197.97826086956522,168.5,0.8126510124710227,средняя,9107.0
108.0,ellipsis_per_100w,0.0,2.6956521739130435,3.0,0.6199341787356506,высокая,124.0
109.0,exclamation_per_100w,0.0,0.9565217391304348,0.0,0.0,средняя,44.0
110.0,question_per_100w,0.0,1.2391304347826086,2.0,0.6931163800509027,высокая,57.0
111.0,punctuation_to_sentence_ratio,5.430675422138837,5.8155891247146005,2.6446481584428234,0.8594675872920853,средняя,5.420509633312617
112.0,comma_to_punct_ratio,0.30410610977846764,0.31687220807282185,0.13449259209617848,0.9607270443482259,средняя,0.3139102916895982
113.0,sentence_terminal_question_share,0.0,0.0026924135000234027,0.0025167785234899327,0.49620722641583576,высокая,0.002983219390926041
114.0,sentence_terminal_exclamation_share,0.0,0.0005431158119191059,0.0,0.0,средняя,0.00037290242386575515
115.0,sentence_terminal_ellipsis_share,0.0,0.0022641838563769398,0.0,0.0,средняя,0.0018645121193287756
116.0,function_word_density_per_100w,665.5,761.5434782608696,551.25,0.8549555081802147,средняя,35031.0
117.0,function_word_type_token_ratio,0.09998026287505424,0.10171437976557306,0.05454529321422877,0.9808435674385432,средняя,0.004367560161000257
118.0,preposition_density_per_100w,257.5,286.30434782608694,185.75,0.8887049373940464,средняя,13170.0
119.0,unique_prepositions_ratio,0.08566889552805046,0.0882907191048352,0.04803874523534718,0.9478265524341061,средняя,0.0036446469248291574
120.0,top_preposition_share,0.3506031746031746,0.3436018873959969,0.09583520641526133,0.9882382971044114,средняя,0.33735763097949883
121.0,conjunction_density_per_100w,206.5,230.32608695652175,143.5,0.8719271302125637,средняя,10595.0
122.0,subordinating_conj_density_per_100w,61.5,63.5,40.0,0.9024209616665347,средняя,2921.0
123.0,coordinating_conj_density_per_100w,142.5,166.82608695652175,104.25,0.8714352829325064,средняя,7674.0
124.0,particles_density_per_100w,47.0,57.54347826086956,45.0,0.8906383073109895,средняя,2647.0
125.0,pronoun_density_per_100w,67.0,88.06521739130434,63.0,0.809228868929051,средняя,4051.0
126.0,determiner_density_per_100w,68.0,87.5,92.5,0.7819159948431582,средняя,4025.0
