word,mean_z_real,mean_z_generated,z_difference_generated_minus_real,abs_z_difference
двух,0.2802481905254473,-0.27415583855750286,-0.5544040290829502,0.5544040290829502
поскольку,0.27290830927207055,-0.2669755199400692,-0.5398838292121397,0.5398838292121397
хотя,-0.27195278079477886,0.26604076382097924,0.5379935446157581,0.5379935446157581
во,0.2703362263430701,-0.2644593518573508,-0.5347955782004209,0.5347955782004209
часть,-0.2695033706177022,0.2636446016912302,0.5331479723089324,0.5331479723089324
образом,-0.26880374327015333,0.26296018363384555,0.5317639269039989,0.5317639269039989
того,0.2683124264226388,-0.26247954758736397,-0.5307919740100028,0.5307919740100028
работы,-0.2663046747931833,0.2605154427324619,0.5268201175256453,0.5268201175256453
или,-0.2640620424936824,0.2583215633090368,0.5223836058027191,0.5223836058027191
кроме,0.2596679162427164,-0.2540229615417881,-0.5136908777845045,0.5136908777845045
этой,-0.2580409317325097,0.25243134626006347,0.5104722779925732,0.5104722779925732
таких,-0.2572042451064079,0.2516128484736595,0.5088170935800673,0.5088170935800673
этих,-0.25182171117072494,0.24634732614527494,0.4981690373159999,0.4981690373159999
т,0.24621620902136207,-0.24086368273828904,-0.4870798917596511,0.4870798917596511
такие,-0.24173146838443688,0.23647643646303626,0.4782079048474731,0.4782079048474731
становится,-0.23767722144501413,0.2325103253266443,0.4701875467716584,0.4701875467716584
для,-0.2325751609831507,0.22751917922264706,0.46009434020579776,0.46009434020579776
человека,0.23058988597811647,-0.22557706236989636,-0.45616694834801286,0.45616694834801286
перевод,-0.23041410275033616,0.22540510051663315,0.45581920326696934,0.45581920326696934
выступает,-0.23037413191902845,0.22536599861644097,0.4557401305354694,0.4557401305354694
точки,0.22781413249602692,-0.2228616513548086,-0.4506757838508355,0.4506757838508355
тем,0.22066141255391597,-0.2158644253244831,-0.43652583787839905,0.43652583787839905
из,0.2185365002254215,-0.21378570674226013,-0.43232220696768164,0.43232220696768164
процесс,-0.21730587865531947,0.21258183781498638,0.4298877164703059,0.4298877164703059
чем,0.21498361323498646,-0.2103100564255302,-0.4252936696605166,0.4252936696605166
языка,0.2147696513778679,-0.21010074591313127,-0.4248703972909992,0.4248703972909992
может,-0.20803292380994742,0.203510468944514,0.4115433927544614,0.4115433927544614
время,0.20755941586024484,-0.20304725464589216,-0.410606670506137,0.410606670506137
информации,0.2026632352493505,-0.19825751274392978,-0.40092074799328026,0.40092074799328026
and,0.20223220856502466,-0.19783585620491542,-0.40006806476994006,0.40006806476994006
п,0.20194971174814325,-0.19755950062318361,-0.39950921237132686,0.39950921237132686
обычно,-0.20097600935306853,0.19660696567148014,0.39758297502454865,0.39758297502454865
функции,-0.19920778249222965,0.19487717852500736,0.394084961017237,0.394084961017237
др,-0.19841195914426255,0.1940986556846047,0.39251061482886723,0.39251061482886723
типа,0.19836927528376205,-0.19405689973411513,-0.3924261750178772,0.3924261750178772
которые,0.19323621377984013,-0.18903542652375646,-0.3822716403035966,0.3822716403035966
было,0.1927579509544279,-0.18856756071628827,-0.38132551167071616,0.38132551167071616
бы,0.18593114396705168,-0.18188916257646356,-0.3678203065435153,0.3678203065435153
г,0.18433817126655017,-0.18033081971727744,-0.3646689909838276,0.3646689909838276
которая,0.18318321595444303,-0.17920097212934624,-0.36238418808378925,0.36238418808378925
один,0.1820330076630209,-0.17807576836599862,-0.36010877602901953,0.36010877602901953
о,0.18071451425278598,-0.1767859378559858,-0.3575004521087718,0.3575004521087718
